新闻id,时间,内容,risk_score,risk_label,risk_types,primary_risk_type,reason,confidence,summary,gold_source
11,2026-04-20 17:40:02,区块链 | Ripple与韩国教保人寿合作测试政府债券交易平台 Ripple与拥有890亿美元资产的韩国教保人寿启动区块链政府债券交易平台概念验证。据NS3报道，双方计划在测试网络环境中使用Ripple的机构区块链基础设施进行试验。该平台旨在将政府债券代币化，并将结算时间从通常的两天缩短至实时交易。,8,low,[],无明显风险,新闻仅报道Ripple与韩国教保人寿启动政府债券交易平台的概念验证，属于正常的业务合作和技术测试，未涉及任何资产损失、攻击、监管处罚或市场异常，整体风险极低。,0.96,Ripple与韩国教保人寿合作测试区块链政府债券交易平台，旨在提升结算效率。,agreement_candidate
12,2026-04-20 17:28:35,KelpDAO 黑客攻击影响稳定币市场 KelpDAO 在周六遭遇黑客攻击后，其余波正在影响稳定币市场。据CoinDesk报道，这次攻击的影响并未立即显现，但正在逐渐扩散。,76,high,"[""链上漏洞 / 攻击风险"", ""稳定币异常风险""]",链上漏洞 / 攻击风险,新闻确认KelpDAO遭遇黑客攻击，且攻击影响正在向稳定币市场扩散，虽未立即显现明确损失，但攻击事件本身和潜在的稳定币异常构成高风险。,0.87,KelpDAO遭黑客攻击，影响逐渐波及稳定币市场。,agreement_candidate
13,2026-04-20 17:27:16,"Richard Teng：稳定币将成为AI原生货币，支付生态将围绕区块链与AI重构 币安联合首席执行官Richard Teng在2026香港Web3嘉年华表示，展望未来两至三年，随着AI代理系统普及，稳定币将成为AI的原生货币，支付生态将围绕区块链与AI协同演进，AI代理应用影响将""极为显著""。Richard援引万事达卡已推出AI代理支付功能作为这一趋势加速落地的实证，并指出AI的原生货币天然构建于区块链与加密资产之上。",8,low,[],无明显风险,新闻为币安高管对稳定币与AI未来发展的积极展望，属于行业观点分享，未涉及任何负面事件、损失、攻击或监管风险，整体风险极低。,0.96,币安高管预测稳定币将成为AI原生货币，支付生态将结合区块链与AI重构。,agreement_candidate
14,2026-04-20 17:25:38,BIS 总经理警告大型美元稳定币可能威胁金融稳定 BIS 总经理 Pablo Hernández de Cos 警告称，如果大型美元稳定币增长到足以与传统货币竞争，可能会威胁金融稳定和经济政策。据 NS3 报道，他指出，USDT 和 USDC 更像投资产品而非现金，因为存在赎回摩擦和偏离面值的情况。此番言论正值欧洲、英国和瑞士完善不同的稳定币监管方法之际。,0,low,[],无明显风险,新闻核心是BIS总经理的警告，属于观点和评论，没有发生任何已实现的风险事件。根据裁决原则，仅凭监管层发言不能自动标注为监管风险，且未出现稳定币实际异常。因此应判定为“无明显风险”，分数为0。,0.95,BIS总经理警告大型稳定币可能威胁金融稳定，指USDT和USDC更像投资产品。,human_adjudicated
15,2026-04-20 17:03:12,"Grant Cardone计划购买5亿美元的Bitcoin Grant Cardone表示，他计划今年购买价值5亿美元的Bitcoin，目标持有10,000枚BTC。据NS3报道，Cardone还计划持有25,000套公寓。这一举措显示出他对加密货币和房地产市场的信心。",8,low,[],无明显风险,新闻仅描述个人投资计划，显示对加密货币的信心，未提及任何负面事件、损失、攻击或监管风险，整体风险较低。,0.95,Grant Cardone计划购买5亿美元比特币，目标持有1万枚BTC。,agreement_candidate
16,2026-04-20 16:57:04,"Richard Teng：监管明确性对加密行业始终利好，香港在亚太区引领示范 币安联合首席执行官Richard Teng在2026香港Web3嘉年华表示，香港《虚拟资产条例》（VA Act）有效厘清了Web3运营商及传统金融机构的合规边界与用户权利，推动各方积极参与市场。Richard称，币安与香港监管机构保持深度对话，并表示""任何形式的监管明确性对行业始终利好""。他同时期待美国《数字资产市场清晰度法案》（Clarity Act）尽快推进，并指出""每一项监管立法都是向正确方向迈出的一步""。",4,low,[],无明显风险,新闻为币安高管在会议中表达对监管明确性的积极看法，认为监管利好行业发展，无攻击、损失、执法或市场异常等负面事件，整体风险极低。,0.96,币安CEO称香港虚拟资产条例推动加密市场，监管明确性对行业利好。,agreement_candidate
17,2026-04-20 16:54:23,Richard Teng：传统金融与加密竞争与合作并存，银行推进资产上链以实现24/7流动性 币安联合首席执行官Richard Teng在2026香港Web3嘉年华表示，纳斯达克和纽约证券交易所均已宣布计划将股票上链，初期实现23/5交易。Richard称，币安1月上线贵金属交易，三个月内交易量已超越多家全球传统大宗商品交易所；目前平台已新增化工品、股票、代币及Pre-IPO交易，致力于为逾3亿用户打造多司法管辖区、多资产类别的金融超级应用。就传统金融与加密行业融合，Richard表示竞争与合作并存：银行积极试点代币化存款以实现24/7流动性，并借助AI与区块链替代中后台清算结算职能；与此同时，币安已与贝莱德和富兰克林邓普顿达成合作，接受其代币化基金产品（Builder代币及Benji代币）作为交易抵押品。,10,low,[],无明显风险,新闻为币安CEO在行业会议上的发言，内容涉及传统金融与加密业务的融合、合作及业务拓展，未出现任何负面事件、攻击、监管执法、资产损失或市场异常，整体为积极行业动态，无明显风险。,0.95,币安CEO称传统金融与加密行业竞争合作并存，银行推进资产上链，币安与资管巨头合作接受代币化基金作为抵押品。,agreement_candidate
18,2026-04-20 16:53:57,SKYAI 暴跌超 50%，现报 0.1 美元 行情数据显示，SKYAI 短时下跌超 50%，现报 0.1 美元。据Odaily星球日报报道，市场对该资产的波动性表示关注。,60,medium,"[""异常行情波动风险""]",异常行情波动风险,新闻核心事件是SKYAI代币短时间内暴跌超过50%，属于典型异常行情波动。此类波动直接对持有者造成资产损失风险，但新闻未提及攻击、诈骗、监管等其他风险因素。根据0-10分制，此类已发生显著行情异常，影响投资者资金安全，应评为中高风险（6分）。LLMa和LLMb都正确识别了风险类别，但LLMa的75分（约7.5/10）偏高，LLMb的60分（6.0/10）更为合理，但需统一采用0-10分制，故override两者分数，最终定为6分。,0.95,SKYAI 代币短时暴跌超 50% 至 0.1 美元，市场关注其波动性。,human_adjudicated
19,2026-04-20 16:46:37,AI趋势 | B.AI与Biconomy达成战略合作 B.AI宣布与Biconomy建立战略合作伙伴关系，以构建AI的金融基础设施。据NS3报道，B.AI将整合Biconomy的交易后台，以支持自主AI代理进行更安全、透明和全球可访问的交易。,8,low,[],无明显风险,新闻仅报道B.AI与Biconomy的战略合作，属于正常业务发展和生态建设，未涉及任何负面事件或风险信号，整体风险极低。,0.96,B.AI与Biconomy达成战略合作，整合交易后台支持AI代理交易。,agreement_candidate
20,2026-04-20 16:45:15,加密市场 | USDC Treasury铸造2.5亿USDC Whale Alert报告称，USDC Treasury铸造了2.5亿USDC。据NS3报道，此次铸造可能影响加密市场的流动性和稳定性。,5,low,[],无明显风险,新闻仅报道USDC Treasury铸造2.5亿USDC，为正常增发行为，虽提及可能影响流动性，但未发生实际风险事件，整体无明显负面信号。,0.95,USDC Treasury铸造2.5亿USDC，市场关注流动性影响。,agreement_candidate
21,2026-04-20 16:45:09,"加密货币市场 | Bitcoin价格波动可能导致大量头寸清算 据 NS3 报道，Coinglass数据显示，如果Bitcoin价格超过75,514美元，主要中心化交易所约有1.909亿美元的Bitcoin空头头寸将被清算。如果Bitcoin价格跌至73,771美元以下，约有2.9407亿美元的多头头寸将被清算。",0,low,[],无明显风险,新闻内容为常规数据报道，不包含任何已发生或即将发生的负面事件，也无明确的威胁性陈述，因此不应归为风险类别。LLMa和LLMb均将中性数据预警错误地标注为风险，故否决两者。,0.95,Coinglass数据显示比特币若触及特定价位将引发数亿美元多空清算。,human_adjudicated
22,2026-04-20 16:45:01,Sharplink Gaming CEO 称以太坊价格回调提供长期入场机会 Sharplink Gaming CEO Joseph Chalom 表示，以太坊当前的价格回调为长期投资提供了有利的入场机会。据 NS3 报道，Chalom 指出，Sharplink 的数字资产财务模式随着 ETH 的增长而上升，并可在市场低迷时利用质押收入。,8,low,[],无明显风险,新闻仅报道了一位公司CEO对以太坊价格回调的正面投资观点，未涉及任何攻击、监管、损失或市场异常事件，整体无明显风险。,0.95,Sharplink Gaming CEO认为以太坊回调提供长期入场机会。,agreement_candidate
23,2026-04-20 16:42:33,"Richard Teng：用户体验仍是Web3产品核心待解难题 料各地将竞相跟进颁发稳定币牌照 币安联合首席执行官Richard Teng在2026香港Web3嘉年华表示，稳定币交易量已超越Visa，市值同比涨幅逾50%；美国《GENIUS法案》实施后，稳定币交易量一年增幅超70%。Richard称，依托SWIFT和代理银行的现有金融基础设施""极为落后""，小额跨境汇款手续费据世界银行数据最高达11%，而稳定币转账几近零成本且即时到账。他指出，全球约6亿人持有加密资产，但活跃上链用户仅3000至4000万，Web3产品首次使用流失率高达65%，远高于顶级Web2产品的5%至10%，用户体验仍是核心待解难题。香港上周已颁发稳定币牌照，Richard预计其他司法辖区将相继跟进。",8,low,[],无明显风险,新闻仅包含币安高管的行业观点和稳定币牌照动态，未涉及攻击、损失、监管执法或市场异常，整体风险极低。,0.95,币安CEO称稳定币交易量超Visa，用户体验仍是Web3核心难题，香港已发牌照。,agreement_candidate
24,2026-04-20 16:23:41,"Hyperliquid 早期贡献者开立 5 倍杠杆 HYPE 空单 据 BlockBeats 报道，Hyperinsight 监测显示，过去 10 分钟内，Hyperliquid 早期贡献者 Loracle 地址开立 5 倍杠杆 HYPE 空单，规模达 2.9 万枚，均价 41.04 美元。

该地址为 Hypurrfun 创始人，曾在 HYPE 自 20 美元反弹期间大举做多，规模一度超 4000 万美元。",0,low,[],无明显风险,新闻内容为链上交易监测信息，早期贡献者开仓未见违反规定或引发实际风险，不能因内部身份就推断项目异常或行情波动。严格基于事实，不构成任何风险类别，因此风险分数为0。LLMa和LLMb均错误地将正常交易行为标注为风险，属于过度解读，故全部否定。,0.95,Hyperliquid早期贡献者开立5倍杠杆HYPE空单,human_adjudicated
25,2026-04-20 16:14:06,新加坡华侨银行将在以太坊和Solana链上发行黄金基金代币 据 ChainCatcher 报道，新加坡华侨银行及其资产管理部门 Lion Global Investors 将在以太坊和 Solana 链上发行实物黄金基金代币 GOLDX Token。华侨银行负责代币发行架构设计，Lion Global Investors 提供底层基金的投资框架和治理结构。,5,low,[],无明显风险,新闻是关于新加坡华侨银行发行基于区块链的黄金基金代币，属于传统金融机构的正常业务创新，未涉及任何损失、攻击、监管处罚或市场异常风险。,0.96,华侨银行在以太坊和Solana上发行黄金基金代币GOLDX。,agreement_candidate
26,2026-04-20 16:03:35,"Jupiter 战略储备信托基金增持 JUP，累计购买量超 1.1 亿枚 Jupiter 战略储备信托基金 Jupiter Litterbox Trust 于昨日增持 310,087 枚 JUP。据 Foresight News 报道，其本月已累计购买 7,895,598 枚 JUP。截至目前，其购买总量为 111,998,849 枚。",5,low,[],无明显风险,新闻仅描述Jupiter战略储备信托基金增持JUP，属于常规资金操作，未发现攻击、欺诈、监管或市场异常等风险信号。,0.96,Jupiter信托基金增持JUP，累计购买超1.1亿枚。,agreement_candidate
27,2026-04-20 15:33:51,美股期货全线下跌，BTC能否回补CME缺口？ 美股三大股指期货全线下跌，引发市场关注。据 PANews 报道，投资者担心美股开盘后可能对BTC价格产生影响，尤其是CME缺口是否会被回补。市场情绪紧张，投资者密切关注美股走势对加密市场的潜在影响。,0,low,[],无明显风险,新闻核心是市场情绪猜测，无明确风险事实，不构成任何实质性风险，因此风险分数为0，类别为无明显风险。LLMa错误地将间接市场担忧标注为宏观/政策冲击风险，且分数虚高；LLMb虽判断方向正确，但仍给出了不必要的风险分数，两者均未完全遵守‘无明显风险时分数必须为0’的原则。,0.95,美股期货全线下跌，投资者关注BTC是否回补CME缺口。,human_adjudicated
28,2026-04-20 15:22:08,"ETH 突破 2,300 USDT，24 小时跌幅收窄至0.12% 据币安行情数据显示，ETH 突破 2,300 USDT，现报价 2,308.01001 USDT，24 小时跌幅收窄至0.12%。",8,low,[],无明显风险,新闻仅报道ETH价格突破2300 USDT，24小时跌幅收窄至0.12%，属于正常行情波动，未涉及任何攻击、监管、异常或负面事件，因此风险极低。,0.99,ETH价格突破2300 USDT，24小时跌幅收窄至0.12%。,agreement_candidate
29,2026-04-20 15:21:05,"BTC 突破 75,000 USDT，24 小时跌幅收窄至0.02% 据币安行情数据显示，BTC 突破 75,000 USDT，现报价 75,068.539063 USDT，24 小时跌幅收窄至0.02%。",2,low,[],无明显风险,"新闻仅为比特币价格突破75,000 USDT的普通行情播报，未出现负面事件、攻击、监管或流动性异常，整体无明显风险。",0.96,BTC突破75000 USDT，24小时跌幅收窄至0.02%。,agreement_candidate
