新闻id,时间,内容,score_a,score_b,score_diff,label_a,label_b,label_match,label_distance,primary_a,primary_b,primary_match,types_a,types_b,types_exact_match,types_jaccard,one_no_risk_one_risk,types_disjoint,consistency_level,suggested_action,a_risk_score,a_risk_label,a_raw_risk_label,a_risk_types,a_primary_risk_type,a_reason,a_confidence,a_summary,b_risk_score,b_risk_label,b_raw_risk_label,b_risk_types,b_primary_risk_type,b_reason,b_confidence,b_summary
57,2026-04-20 12:52:59,多家借贷协议TVL大幅下降 多家借贷和收益协议的总锁仓量（TVL）出现两位数百分比的下降。据CoinDesk报道，尽管如此，代币价格的跌幅相对有限。,45,20,25,medium,low,False,1,偿付能力 / 储备 / 流动性风险,无明显风险,False,"[""偿付能力 / 储备 / 流动性风险""]",[],False,0.0,True,False,C_severe_conflict,human_review_priority,45,medium,medium,"[""偿付能力 / 储备 / 流动性风险""]",偿付能力 / 储备 / 流动性风险,多家借贷协议TVL出现两位数百分比下降，显示资金流出和流动性减弱，但代币价格跌幅有限，未引发连锁风险，整体风险中等。,0.9,多家借贷协议TVL大幅下降，但代币价格跌幅有限。,20,low,low,[],无明显风险,新闻仅报告多家借贷协议TVL的两位数百分比下降，但代币价格跌幅有限，未出现攻击、违约或恐慌性撤离等负面事件，属于常规市场波动数据，无明显风险信号。,0.9,多家借贷协议TVL大幅下降，但代币价格跌幅相对有限。
62,2026-04-20 11:57:46,Tiger Research：社交工程导致 Web3 黑客攻击占比 74.7% Tiger Research 表示，今年第一季度，社交工程导致的 Web3 黑客攻击占比达到 74.7%。据 NS3 报道，资金追回率仍低于 10%。Tiger Research 指出，频繁的盗窃事件和低资金追回率正在削弱行业的信任。,20,10,10,low,low,True,0,链上漏洞 / 攻击风险,无明显风险,False,"[""链上漏洞 / 攻击风险""]",[],False,0.0,True,False,C_severe_conflict,human_review_priority,20,low,low,"[""链上漏洞 / 攻击风险""]",链上漏洞 / 攻击风险,新闻仅引用研究数据指出社交工程是Web3黑客攻击的主要原因，资金追回率低，属于行业安全风险提示，未涉及具体攻击事件或直接损失，风险较低。,0.95,研究称社交工程致Web3黑客攻击占比74.7%，资金追回率不足10%，削弱行业信任。,10,low,low,[],无明显风险,新闻为Tiger Research关于社交工程黑客攻击占比和资金追回率的研究报告，属于行业安全状况分析，未涉及任何具体攻击事件、损失或异常，因此无明显风险。,0.95,研究指出社交工程致Web3黑客攻击占比高，资金追回率低，行业信任受削弱。
70,2026-04-20 11:03:48,Relay 核心产品未受影响，金库提款暂无法处理 Foresight News 消息，互操作性基础设施 Relay 发推表示，其核心产品未受 rsETH 事件影响，所有路线将继续正常运行。据 Foresight News 报道，目前暂无法处理 Relay 金库提款，因为抵押品已存入 Aave WETH 市场以获取收益。若 Aave 未及时更新，团队将启动流程来帮助用户手动提款。,45,25,20,medium,low,False,1,偿付能力 / 储备 / 流动性风险,偿付能力 / 储备 / 流动性风险,True,"[""偿付能力 / 储备 / 流动性风险""]","[""偿付能力 / 储备 / 流动性风险""]",True,1.0,False,False,C_severe_conflict,human_review_priority,45,medium,medium,"[""偿付能力 / 储备 / 流动性风险""]",偿付能力 / 储备 / 流动性风险,新闻指出Relay金库提款暂时无法处理，因抵押品已存入Aave WETH市场获取收益，存在用户资金提取延迟的流动性风险，但核心产品未受影响且团队有手动提款方案，风险可控。,0.9,Relay金库因抵押品存入Aave导致提款暂停，团队将协助手动处理。,25,low,low,"[""偿付能力 / 储备 / 流动性风险""]",偿付能力 / 储备 / 流动性风险,Relay 金库因抵押品存入 Aave 收益策略导致提款暂时无法处理，但核心产品未受影响，团队已准备手动提款方案，无资产损失或协议安全问题，整体风险较低。,0.9,Relay 金库提款延迟，因抵押品锁于 Aave，团队将提供手动提款。
72,2026-04-20 10:53:44,"以太坊名称服务网关 eth.limo 遭社会工程攻击短暂劫持 以太坊名称服务网关 eth.limo 于周五晚间在其域名注册商处遭到劫持。项目方在周六发布的事后分析报告中表示，此次事件源于一次社会工程攻击。

据 BlockBeats 报道，攻击者冒充 eth.limo 团队成员，诱骗域名注册商 EasyDNS 启动账户恢复流程。时间线显示，攻击者在 4 月 18 日凌晨 2 点 23 分将 eth.limo 的域名服务器切换至 Cloudflare，触发了自动宕机警报并惊动了 eth.limo 团队。

随后在凌晨 3 点 57 分，域名服务器又被切换至 Namecheap。最终，EasyDNS 在早上 7 点 49 分恢复了团队的账户访问权限。eth.limo 是一个免费、开源的反向代理服务，允许用户通过在任意 .eth 域名后添加「.limo」，在普通浏览器中访问由 Ethereum Name Service 关联、并托管在 IPFS、Arweave 或 Swarm 上的内容。",25,15,10,low,low,True,0,基础设施 / 协议层异常风险,无明显风险,False,"[""基础设施 / 协议层异常风险""]",[],False,0.0,True,False,C_severe_conflict,human_review_priority,25,low,low,"[""基础设施 / 协议层异常风险""]",基础设施 / 协议层异常风险,eth.limo域名被社会工程攻击短暂劫持，但已快速恢复，未造成用户资产损失或长期服务中断，整体风险较低。,0.9,eth.limo域名遭社会工程攻击短暂劫持，已恢复访问。,15,low,low,[],无明显风险,新闻称eth.limo域名注册商账户遭社会工程攻击短暂劫持，但团队及时发现并恢复控制，未提及资产损失、用户被骗或服务长期中断，整体风险较低。,0.95,eth.limo域名遭社会工程攻击短暂劫持，已恢复。
74,2026-04-20 10:43:56,"法国加密货币绑架案频发，内政部拟推新措施应对 法国今年至少报告 41 起与加密货币相关的绑架和入室抢劫案，平均每 2.5 天发生一起。据Odaily星球日报报道，内政部代表部部长 Jean-Didier Berger 表示，正与内政部长 Laurent Nuñez 准备一系列新措施以应对该问题。

扳手攻击通过身体暴力强迫受害者转账加密资产。Certik 与 Jameson Lopp 数据显示，2025 年全球核实的身体强迫事件达 72 起，同比增长 75%。攻击者从寻找钱包转向猎杀个人，通过社交媒体和泄露数据锁定目标。由于加密交易不可逆，攻击者常将非法所得兑换为稳定币并跨链转移以逃避追查。专家建议使用多重签名、提款延迟和支出限制等工具降低被攻击风险。",10,35,25,low,low,True,0,无明显风险,监管与法律风险,False,[],"[""监管与法律风险""]",False,0.0,True,False,C_severe_conflict,human_review_priority,10,low,low,[],无明显风险,新闻主要报道法国加密货币相关绑架案频发及政府应对措施，属于现实世界犯罪事件，虽涉及加密资产，但未对加密货币市场基础设施、项目或交易造成直接风险，整体风险较低。,0.95,法国加密货币绑架案激增，内政部拟推新措施，专家建议加强资产安全防护。,35,low,low,"[""监管与法律风险""]",监管与法律风险,新闻核心事件是法国加密货币相关绑架抢劫案频发，内政部拟推新措施应对，可能引发针对加密货币的监管收紧，增加行业合规不确定性，但对市场价格的直接影响有限，故评为低风险。,0.92,法国加密货币绑架案频发，内政部拟出台新措施应对。
79,2026-04-20 09:55:15,Vercel 披露安全漏洞，可能影响加密应用 API 密钥 Vercel 近日披露了一起安全漏洞，可能导致加密应用的 API 密钥泄露。据 NS3 报道，公司表示，一个与 Context.ai 相关的 Google Workspace 连接被攻破，攻击者借此提升了对内部环境的访问权限。Vercel 还指出，目前没有证据显示标记为敏感的环境变量被访问。,45,30,15,medium,low,False,1,基础设施 / 协议层异常风险,链上漏洞 / 攻击风险,False,"[""基础设施 / 协议层异常风险""]","[""链上漏洞 / 攻击风险""]",False,0.0,False,True,C_severe_conflict,human_review_priority,45,medium,medium,"[""基础设施 / 协议层异常风险""]",基础设施 / 协议层异常风险,Vercel平台披露安全漏洞，攻击者可能提升了对内部环境的访问权限，存在加密应用API密钥泄露的潜在风险，但目前无证据表明敏感数据被访问，实际影响未确认，风险中等。,0.7,Vercel披露安全漏洞，可能影响加密应用API密钥安全，尚无敏感数据访问证据。,30,low,low,"[""链上漏洞 / 攻击风险""]",链上漏洞 / 攻击风险,Vercel披露安全漏洞，攻击者可能获取加密应用的API密钥，但官方表示暂无敏感环境变量被访问证据，目前风险有限但存在潜在安全威胁。,0.6,Vercel披露平台安全漏洞，可能影响加密应用API密钥安全。
80,2026-04-20 09:49:10,AI工具漏洞可能导致Web3钱包凭证泄露 据CoinDesk报道，AI工具的安全漏洞可能导致用于应用程序前端的凭证泄露。这些前端连接Web3钱包和交易接口与后端服务。,68,30,38,medium,low,False,1,链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,True,"[""链上漏洞 / 攻击风险""]","[""链上漏洞 / 攻击风险""]",True,1.0,False,False,C_severe_conflict,human_review_priority,68,medium,medium,"[""链上漏洞 / 攻击风险""]",链上漏洞 / 攻击风险,新闻指出AI工具存在安全漏洞，可能导致Web3钱包凭证泄露，影响钱包和交易接口，虽未确认实际攻击，但潜在风险较高，可能造成用户资产损失。,0.75,AI工具漏洞可能导致Web3钱包凭证泄露,30,low,low,"[""链上漏洞 / 攻击风险""]",链上漏洞 / 攻击风险,新闻称AI工具安全漏洞可能导致Web3钱包凭证泄露，但未发生实际攻击或资产损失，属于潜在威胁，风险较低。,0.85,AI工具漏洞可能泄露Web3钱包凭证
82,2026-04-20 09:33:37,"Solana 生态借贷协议稳定币利率上涨 在 KelpDAO rsETH 黑客事件后，Solana 生态多个借贷协议的稳定币借贷利率与利用率出现上涨。据 BlockBeats 报道，Jupiter Lend 上 USDC 利用率飙升至约 99%，借贷利率现报 4.36%。

Kamino Prime Market 上 USDC 利用率接近 96%，借贷利率现报 8.92%。Kamino Main Market 上 USDC 利用率约 95.75%，借贷利率现报 10.2%。

Save Finance 借贷利用率升至超 70%，借贷利率现报 3.9%。Marginfi 上 USDC 借贷利用率升至 88.32%，借贷利率现报 7.65%。",45,7,38,medium,low,False,1,偿付能力 / 储备 / 流动性风险,无明显风险,False,"[""偿付能力 / 储备 / 流动性风险""]",[],False,0.0,True,False,C_severe_conflict,human_review_priority,45,medium,medium,"[""偿付能力 / 储备 / 流动性风险""]",偿付能力 / 储备 / 流动性风险,在KelpDAO rsETH黑客事件影响下，Solana生态多个借贷协议的稳定币借贷利用率飙升至接近饱和水平，借贷利率大幅上升，反映出市场对稳定币的紧急需求，可能导致协议流动性紧张，虽然没有直接出现挤兑或损失，但存在流动性风险升级的隐患。,0.85,Solana借贷协议稳定币利用率与利率在黑客事件后飙升，部分协议USDC利用率超99%。,7,low,low,[],无明显风险,新闻仅报道了受外部黑客事件影响，Solana生态借贷协议的稳定币借贷利率和利用率出现市场性上涨，未出现协议漏洞、攻击、脱锚或流动性危机等实质性风险信号，整体风险较低。,0.95,KelpDAO rsETH黑客事件后，Solana借贷协议稳定币利率和利用率普遍上升。
83,2026-04-20 09:09:59,韩国数字资产基本法立法再度延迟，交易所股权限制引发宪法争议 据朝鲜日报商业版报道，韩国数字资产第二阶段立法（《数字资产基本法》）推进再度受阻。执政党与在野党虽同意于4月27日召开国会国政调查委员会小委员会，但由于政府草案至今未能定稿，各方研判该法案正式讨论的可能性极低。最大争议焦点为限制数字资产交易所大股东持股比例的相关条款，韩国国会立法调查处已两度指出该条款存在违宪隐患，前宪法法院法官等法律界人士亦持相同立场。加之执政党5月初进行党团选举、6月举行地方选举，立法优先级进一步下降。相比之下，要求建立以银行为核心的韩元稳定币联盟条款，目前似乎正逐步获得接受。,25,10,15,low,low,True,0,监管与法律风险,无明显风险,False,"[""监管与法律风险""]",[],False,0.0,True,False,C_severe_conflict,human_review_priority,25,low,low,"[""监管与法律风险""]",监管与法律风险,新闻仅涉及韩国数字资产立法进程再次延迟，交易所股权限制条款引发宪法争议，未发生实际执法、处罚或市场冲击，立法不确定性对行业预期影响有限，整体风险较低。,0.92,韩国数字资产基本法立法延迟，股权限制条款涉违宪争议。,10,low,low,[],无明显风险,新闻仅报道韩国数字资产基本法立法延迟及条款争议，属于政策推进中的正常信息，未出现负面执法、市场冲击或资产安全事件，整体风险较低。,0.95,韩国数字资产基本法立法再度延迟，交易所股权限制条款引发违宪争议。
88,2026-04-20 08:44:04,Kelp DAO面临rsETH事件三种处理方案 据DefiLlama创始人0xngmi在X平台分析，Kelp DAO在rsETH事件中面临三种潜在处理路径：方案一，在所有用户间分摊损失，用户将面临18.5%的减值；方案二，将损失全部集中在L2的rsETH持有者身上，Aave利用资金库救助主网用户但放弃L2市场；方案三，使用攻击前快照向持有者返还资产，仅补偿黑客借出的部分，操作难度极大。,50,75,25,medium,high,False,1,链上漏洞 / 攻击风险,链上漏洞 / 攻击风险,True,"[""链上漏洞 / 攻击风险"", ""项目治理 / 团队异常风险""]","[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险""]",False,0.3333,False,False,C_severe_conflict,human_review_priority,50,medium,medium,"[""链上漏洞 / 攻击风险"", ""项目治理 / 团队异常风险""]",链上漏洞 / 攻击风险,新闻提及Kelp DAO因rsETH事件面临三种处理方案，可能导致用户资产减值18.5%或集中损失，事件起因疑似涉及黑客攻击，且治理决策存在不确定性，但系第三方分析观点，尚未经官方确认，故评为中等风险。,0.72,Kelp DAO在rsETH事件后分析三种损失处理方案，用户或面临18.5%减值。,75,high,high,"[""链上漏洞 / 攻击风险"", ""偿付能力 / 储备 / 流动性风险""]",链上漏洞 / 攻击风险,新闻指出Kelp DAO的rsETH事件疑似遭黑客攻击，已产生实际损失，并正在讨论三种损失分摊方案，可能导致用户直接面临18.5%的资产减值，构成明确的重大负面事件和偿付能力风险，因此评为高风险。,0.85,Kelp DAO rsETH事件出现三种处理方案，用户或承担18.5%减值。
89,2026-04-20 08:43:24,多种代币解锁计划公布，ZRO解锁占流通量5.34% 本周的代币解锁计划包括价值4165万美元的2571万枚ZRO，约占流通供应量的5.34%。据NS3报道，Tokenomist还列出了KAITO、MBG、SOSO、INIT、MON和H在4月20日至4月25日之间的解锁计划。,45,10,35,medium,low,False,1,异常行情波动风险,无明显风险,False,"[""异常行情波动风险""]",[],False,0.0,True,False,C_severe_conflict,human_review_priority,45,medium,medium,"[""异常行情波动风险""]",异常行情波动风险,ZRO本周解锁数量占流通供应量的5.34%，价值高达4165万美元，较大的解锁量可能引发短期抛压和价格异常波动，因此评为中等风险。,0.85,ZRO本周解锁2571万枚（占流通量5.34%），或引发行情波动。,10,low,low,[],无明显风险,新闻仅公布了多个项目的代币解锁计划，属于正常的项目运营动态，未发生实际损失、攻击或市场异常，对市场影响有限。,0.92,多个项目公布代币解锁计划，ZRO下周解锁占流通量5.34%。
97,2026-04-20 06:27:49,DeFi在2026年面临严重安全挑战 2026年可能成为DeFi领域黑客攻击最严重的一年。Ledger的首席技术官表示，Kelp漏洞显示单点故障如何在系统中产生连锁反应。据CoinDesk报道，DeFi的安全性面临巨大挑战，需加强防护措施以应对潜在风险。,10,25,15,low,low,True,0,无明显风险,链上漏洞 / 攻击风险,False,[],"[""链上漏洞 / 攻击风险""]",False,0.0,True,False,C_severe_conflict,human_review_priority,10,low,low,[],无明显风险,新闻仅讨论DeFi安全挑战的预测和行业观点，未涉及实际攻击、损失或负面事件，整体风险较低。,0.95,DeFi安全挑战预测，Kelp漏洞显单点故障风险。,25,low,low,"[""链上漏洞 / 攻击风险""]",链上漏洞 / 攻击风险,新闻提及DeFi领域可能面临严重安全挑战，并引用Ledger CTO关于Kelp漏洞的观点，但属于预测性警告，未确认已发生实际攻击或资产损失，因此评为低风险。,0.9,DeFi在2026年或面临严重黑客攻击，Kelp漏洞显示单点故障风险。
